ImpactType,DestinationState,WageAndSalaryEmployment,ProprietorEmployment,Wages_and_Salary,Value_Added,Output
Direct,Alabama,28244.878580008673,3323.073039699058,1174512633.859427,2312136787.2761426,4747466597.812319
Direct,Alaska,42024.94528183807,16435.023628393505,3205193693.5633535,11759845919.05124,19614421523.16851
Direct,California,589219.7882319442,71800.8109312586,31931532081.476673,61566453114.60588,106016910608.47311
Direct,Connecticut,67761.09680415971,6846.662700216329,3917724581.432047,7903624222.813506,13738783469.805592
Direct,Delaware,37350.902474725684,3089.8002161058225,1428915238.233167,2507291570.9788656,4379760957.769703
Direct,Florida,749430.6094291204,94628.17672218206,32634932538.728294,67890116837.81631,124467729304.11447
Direct,Georgia,26630.424767089222,3016.663975433522,1146294697.3141155,1902929123.4400675,3468071598.499157
Direct,Hawaii,99265.60086054212,9144.590225517886,4976425924.471583,11396206480.618408,17075771618.91943
Direct,Illinois,82772.5911123467,10629.023449481507,3848812354.4884787,7570092170.0965605,12641568714.0756
Direct,Indiana,8314.69616904256,1063.0013401426545,302414452.774223,538333887.36596,1033147234.817986
Direct,Louisiana,107869.95540847539,20739.281030384358,6509162745.840705,15931823742.457745,28445436006.6593
Direct,Maine,45343.74814459146,11616.865444575518,2176546470.0767584,4829638544.147334,8554731742.998015
Direct,Maryland,126735.91046409369,14431.808656214045,6283607814.997838,11621902200.49596,21700806377.334686
Direct,Massachusetts,134816.45302474863,15740.781147353977,6978353212.469088,13931383638.755907,23693009091.961094
Direct,Michigan,100283.39086953149,12054.521479640165,4096448014.871303,7320076059.413877,14242743579.364485
Direct,Minnesota,7870.136616121293,1071.8717580665468,260392675.71013752,645883204.2807608,1191962319.8407946
Direct,Mississippi,27868.96221853856,3946.6599238318163,1368933839.9354134,2799656411.9472847,6035061945.273365
Direct,New Hampshire,11262.887942296835,1264.1718155613135,512359827.2332795,1124344001.4961803,1824287525.1619275
Direct,New Jersey,191273.12678982192,19886.904591229155,9238154319.042492,15688689419.22382,26259097073.320374
Direct,New York,404705.21626495366,45382.937294965144,20118185149.23829,40827295278.45528,63702115930.17455
Direct,North Carolina,51578.91795708362,7047.517178357289,1606158739.4326308,3270108246.896911,6974251553.595872
Indirect,Alabama,10411.760441197901,5316.052067779598,743321937.1114995,1711524502.1988475,4157585731.508079
Indirect,Alaska,8076.702444612095,4713.6552231368,703642483.7007071,2053297363.6540432,3832579090.8883114
Indirect,California,119645.1641092158,58273.30751207063,14251677979.348043,31697115926.468967,53577926301.64348
Indirect,Connecticut,13879.621504136698,8020.409628818272,1546285251.6522744,3510258204.1127954,6014860378.616186
Indirect,Delaware,5182.091594129223,3281.8672553593983,467296595.43319,1402450045.074463,2364700482.555722
Indirect,Florida,147243.81871724347,101259.13865130661,13145612357.721449,28062779412.74933,53716494361.68365
Indirect,Georgia,15846.890405217458,6235.763622141763,1213851663.8678422,2825363568.647087,5931880956.76823
Indirect,Hawaii,12675.410013190161,8061.294098941392,1026839652.8190715,2508869816.258228,4675737582.235761
Indirect,Illinois,21681.76545025711,8997.816054518711,2191891507.375669,4913506831.496421,9292480205.658386
Indirect,Indiana,6662.326974176853,2220.9413648857767,478478517.3280417,1255195808.1619968,3360525848.6522384
Indirect,Inland States,44700.403860281236,20159.156658386153,3316860028.773591,9299060510.006882,23069024599.219036
